Sampling Period,Sampling Location,Radionuclide,Result (pCi/m3),Counting Error (pCi/m3),Minimum Detectable Activity 95% (pCi/m3,Total Effective Dose Equivalent (millirem),NRC Effluent Air Conc. Limit (pCi/m3)
2012Q4,San Onofre,Ruthenium-103,0.0000937,0.000129,0.000369,0,900
2012Q4,San Onofre,Ruthenium-106,0.0000674,0.000373,0.00105,0,20
2012Q4,San Onofre,Cesium-137,-0.0000607,0.0000404,0.000105,0,200
2012Q4,San Onofre,Cerium-141,0.000329,0.000219,0.000684,0,800
2012Q4,San Onofre,Cerium-144,0.000448,0.000209,0.000655,0,20
2012Q4,San Diego,Beryllium-7,0.116,0.00315,0.00224,0.000193333,30000
2012Q4,San Diego,Potassium-40,-0.00138,0.000573,0.00276,0,600
2012Q4,San Diego,Niobium-95,-0.000132,0.00016,0.000431,0,2000
2012Q4,San Diego,Zirconium-95,0.0000187,0.000141,0.000396,0,400
2012Q4,San Diego,Ruthenium-103,-0.000149,0.000116,0.00032,0,900
2012Q4,San Diego,Ruthenium-106,0.000508,0.000357,0.00105,0,20
2012Q4,San Diego,Cesium-137,0.0000678,0.000037,0.000112,0,200
2012Q4,San Diego,Cerium-141,0.000369,0.000107,0.000487,0,800
2012Q4,San Diego,Cerium-144,0.000391,0.000183,0.000607,0,20
2013Q1,Eureka,Beryllium-7,0.0581,0.00187,0.00277,9.68E-05,30000
2013Q1,Eureka,Potassium-40,-0.00349,0.000652,0.00318,0,600
2013Q1,Eureka,Niobium-95,0.000145,0.00015,0.000439,0,2000
2013Q1,Eureka,Zirconium-95,0.0000362,0.000158,0.000373,0,400
2013Q1,Eureka,Ruthenium-103,0.000118,0.000112,0.000339,0,900
2013Q1,Eureka,Ruthenium-106,0.000202,0.000351,0.001,0,20
2013Q1,Eureka,Cesium-137,-0.0000549,0.0000375,0.0000979,0,200
2013Q1,Eureka,Cerium-141,0.000174,0.000185,0.000606,0,800
2013Q1,Eureka,Cerium-144,0.0000564,0.000241,0.000589,0,20
